date,platform,campaign,ad_set,impressions,clicks,spend,conversions,ctr,cpc,audience,geo,device
2023-01-01,Google Ads,Lead Gen,Carousel,30009,1387,928.39,22,4.62,0.67,Interest-Based,AU,Mobile
2023-01-01,Google Ads,Retargeting,Search,12439,945,541.51,68,7.6,0.57,Custom,IN,Desktop
2023-01-01,Meta Ads,Retargeting,Carousel,19058,2959,1469.08,34,15.53,0.5,Interest-Based,US,Mobile
2023-01-01,Meta Ads,Retargeting,Display,13576,773,1114.16,33,5.69,1.44,Interest-Based,CA,Mobile
2023-01-01,Google Ads,Conversion Boost,Carousel,2089,532,1035.76,27,25.47,1.95,Lookalike,AU,Tablet
2023-01-01,Meta Ads,Conversion Boost,Search,2958,2551,1286.49,0,86.24,0.5,Broad,IN,Desktop
2023-01-01,Meta Ads,Brand Awareness,Desktop,22447,904,134.08,66,4.03,0.15,Custom,UK,Desktop
2023-01-01,Google Ads,Conversion Boost,Video,34209,1994,338.98,14,5.83,0.17,Broad,US,Desktop
2023-01-01,Google Ads,Lead Gen,Mobile,38396,2324,1149.47,52,6.05,0.49,Custom,AU,Mobile
2023-01-01,Meta Ads,Conversion Boost,Display,45333,2069,1309.38,38,4.56,0.63,Custom,UK,Desktop
2023-01-01,Meta Ads,Brand Awareness,Video,34160,1837,1004.18,81,5.38,0.55,Broad,US,Desktop
2023-01-01,Google Ads,Lead Gen,Video,22125,2316,849.45,90,10.47,0.37,Interest-Based,AU,Desktop
2023-01-01,Meta Ads,Lead Gen,Carousel,18761,2985,581.66,13,15.91,0.19,Lookalike,AU,Tablet
2023-01-01,Meta Ads,Lead Gen,Desktop,3659,550,829.04,34,15.03,1.51,Interest-Based,US,Tablet
2023-01-01,Google Ads,Brand Awareness,Video,47738,1615,1207.48,83,3.38,0.75,Lookalike,CA,Tablet
2023-01-01,Google Ads,Retargeting,Search,43864,330,643.74,13,0.75,1.95,Custom,UK,Tablet
2023-01-01,Meta Ads,Conversion Boost,Mobile,5249,2711,434.46,47,51.65,0.16,Broad,CA,Desktop
2023-01-01,Meta Ads,Conversion Boost,Desktop,5088,132,1459.71,2,2.59,11.06,Custom,AU,Tablet
2023-01-01,Meta Ads,Conversion Boost,Desktop,43409,1348,1211.26,83,3.11,0.9,Custom,CA,Mobile
2023-01-01,Google Ads,Brand Awareness,Search,11412,2860,949.79,18,25.06,0.33,Custom,UK,Mobile
2023-01-01,Google Ads,Conversion Boost,Desktop,5493,1193,1061.46,60,21.72,0.89,Interest-Based,AU,Tablet
2023-01-01,Meta Ads,Conversion Boost,Search,32655,2562,378.0,63,7.85,0.15,Broad,IN,Desktop
2023-01-01,Meta Ads,Lead Gen,Carousel,7816,2917,465.87,74,37.32,0.16,Custom,UK,Tablet
2023-01-01,Google Ads,Retargeting,Video,30492,1812,355.0,77,5.94,0.2,Lookalike,CA,Mobile
2023-01-01,Google Ads,Retargeting,Video,33808,1781,115.45,91,5.27,0.06,Custom,IN,Mobile
2023-01-01,Meta Ads,Retargeting,Search,15849,1671,1340.61,54,10.54,0.8,Broad,AU,Desktop
2023-01-01,Meta Ads,Retargeting,Search,24567,2574,1260.47,47,10.48,0.49,Custom,AU,Mobile
2023-01-01,Google Ads,Retargeting,Video,10885,2365,882.55,63,21.73,0.37,Broad,IN,Desktop
2023-01-01,Meta Ads,Brand Awareness,Carousel,30165,1635,868.56,20,5.42,0.53,Custom,CA,Mobile
2023-01-01,Meta Ads,Conversion Boost,Display,14615,1349,345.93,43,9.23,0.26,Broad,AU,Tablet
2023-01-01,Meta Ads,Conversion Boost,Mobile,17288,2094,797.35,8,12.11,0.38,Lookalike,IN,Desktop
2023-01-01,Google Ads,Lead Gen,Desktop,47403,1108,1247.34,87,2.34,1.13,Interest-Based,CA,Tablet
2023-01-01,Meta Ads,Retargeting,Carousel,45096,1081,785.82,46,2.4,0.73,Broad,IN,Tablet
2023-01-01,Google Ads,Brand Awareness,Video,35215,2429,1367.8,45,6.9,0.56,Interest-Based,IN,Desktop
2023-01-01,Meta Ads,Retargeting,Carousel,43856,708,1340.93,92,1.61,1.89,Lookalike,CA,Mobile
2023-01-01,Google Ads,Conversion Boost,Video,17789,2329,1423.2,37,13.09,0.61,Interest-Based,US,Mobile
2023-01-01,Google Ads,Retargeting,Mobile,31483,554,1059.9,3,1.76,1.91,Interest-Based,IN,Tablet
2023-01-01,Meta Ads,Retargeting,Search,19230,1528,214.91,3,7.95,0.14,Custom,CA,Desktop
2023-01-01,Google Ads,Lead Gen,Search,22909,2173,741.75,85,9.49,0.34,Interest-Based,IN,Tablet
2023-01-01,Google Ads,Lead Gen,Display,47571,243,421.92,90,0.51,1.74,Interest-Based,UK,Tablet
2023-01-01,Meta Ads,Brand Awareness,Mobile,12190,1434,769.27,86,11.76,0.54,Broad,US,Mobile
2023-01-01,Google Ads,Retargeting,Mobile,21389,2311,396.5,16,10.8,0.17,Custom,UK,Desktop
2023-01-01,Meta Ads,Conversion Boost,Mobile,7716,829,914.03,26,10.74,1.1,Interest-Based,AU,Mobile
2023-01-01,Meta Ads,Brand Awareness,Display,41583,1540,429.69,64,3.7,0.28,Lookalike,AU,Tablet
2023-01-01,Meta Ads,Lead Gen,Carousel,46496,2190,720.0,98,4.71,0.33,Broad,UK,Tablet
2023-01-01,Google Ads,Brand Awareness,Display,31119,191,923.95,83,0.61,4.84,Broad,UK,Desktop
2023-01-01,Meta Ads,Retargeting,Carousel,31519,1762,784.53,48,5.59,0.45,Custom,AU,Mobile
2023-01-01,Meta Ads,Lead Gen,Video,18709,930,344.22,42,4.97,0.37,Custom,IN,Mobile
2023-01-01,Meta Ads,Brand Awareness,Desktop,30075,941,441.66,38,3.13,0.47,Lookalike,AU,Desktop
2023-01-01,Google Ads,Retargeting,Carousel,17724,2018,343.39,53,11.39,0.17,Broad,US,Mobile
2023-01-02,Google Ads,Retargeting,Display,28005,2330,607.58,36,8.32,0.26,Interest-Based,CA,Mobile
2023-01-02,Google Ads,Lead Gen,Video,5912,602,1230.95,20,10.18,2.04,Lookalike,UK,Tablet
2023-01-02,Google Ads,Brand Awareness,Carousel,36634,232,1313.85,12,0.63,5.66,Interest-Based,CA,Mobile
2023-01-02,Google Ads,Brand Awareness,Desktop,23207,2876,86.38,10,12.39,0.03,Custom,AU,Desktop
2023-01-02,Google Ads,Retargeting,Search,18740,2224,426.6,0,11.87,0.19,Broad,US,Desktop
2023-01-02,Meta Ads,Brand Awareness,Carousel,45199,68,628.31,60,0.15,9.24,Custom,AU,Desktop
2023-01-02,Google Ads,Conversion Boost,Desktop,43092,2542,477.87,44,5.9,0.19,Lookalike,US,Mobile
2023-01-02,Meta Ads,Lead Gen,Mobile,34755,569,1297.06,45,1.64,2.28,Broad,CA,Tablet
2023-01-02,Google Ads,Brand Awareness,Search,14654,2528,108.1,46,17.25,0.04,Lookalike,IN,Tablet
2023-01-02,Google Ads,Conversion Boost,Video,2875,2947,399.91,67,102.5,0.14,Custom,CA,Mobile
2023-01-02,Meta Ads,Retargeting,Desktop,18373,2736,1000.74,18,14.89,0.37,Lookalike,CA,Desktop
2023-01-02,Meta Ads,Lead Gen,Carousel,35542,2509,833.38,96,7.06,0.33,Interest-Based,CA,Desktop
2023-01-02,Meta Ads,Brand Awareness,Mobile,17715,2752,1129.78,1,15.53,0.41,Interest-Based,US,Tablet
2023-01-02,Meta Ads,Retargeting,Search,38822,154,976.75,50,0.4,6.34,Custom,AU,Mobile
2023-01-02,Google Ads,Retargeting,Carousel,11058,2046,34.99,81,18.5,0.02,Broad,US,Desktop
2023-01-02,Meta Ads,Brand Awareness,Search,5658,2810,926.61,27,49.66,0.33,Lookalike,UK,Mobile
2023-01-02,Google Ads,Conversion Boost,Search,18154,2551,198.43,1,14.05,0.08,Broad,UK,Tablet
2023-01-02,Google Ads,Conversion Boost,Desktop,35396,1751,1246.95,93,4.95,0.71,Lookalike,IN,Desktop
2023-01-02,Google Ads,Lead Gen,Mobile,7439,2355,37.33,11,31.66,0.02,Lookalike,US,Mobile
2023-01-02,Meta Ads,Conversion Boost,Carousel,3282,1906,144.9,78,58.07,0.08,Broad,US,Tablet
2023-01-02,Google Ads,Lead Gen,Desktop,32705,1430,202.04,48,4.37,0.14,Interest-Based,US,Tablet
2023-01-02,Google Ads,Retargeting,Search,10342,272,710.58,23,2.63,2.61,Interest-Based,AU,Tablet
2023-01-02,Google Ads,Lead Gen,Display,39392,1869,593.34,17,4.74,0.32,Broad,CA,Desktop
2023-01-02,Google Ads,Brand Awareness,Carousel,36426,424,822.95,29,1.16,1.94,Lookalike,AU,Tablet
2023-01-02,Google Ads,Lead Gen,Display,37027,1939,588.67,66,5.24,0.3,Custom,US,Desktop
2023-01-02,Google Ads,Brand Awareness,Mobile,14467,2944,1143.84,22,20.35,0.39,Broad,UK,Tablet
2023-01-02,Meta Ads,Retargeting,Video,17743,2657,38.22,56,14.97,0.01,Custom,UK,Tablet
2023-01-02,Google Ads,Brand Awareness,Video,2141,1685,601.6,23,78.7,0.36,Broad,UK,Tablet
2023-01-02,Google Ads,Lead Gen,Display,46734,2537,265.13,6,5.43,0.1,Lookalike,AU,Mobile
2023-01-02,Meta Ads,Brand Awareness,Carousel,4267,2518,1337.34,64,59.01,0.53,Custom,UK,Desktop
2023-01-02,Meta Ads,Brand Awareness,Search,19990,1860,57.66,59,9.3,0.03,Lookalike,CA,Tablet
2023-01-02,Google Ads,Brand Awareness,Desktop,18297,2061,29.93,94,11.26,0.01,Custom,US,Mobile
2023-01-02,Meta Ads,Conversion Boost,Mobile,12738,175,902.06,37,1.37,5.15,Custom,US,Tablet
2023-01-02,Meta Ads,Retargeting,Video,9767,2422,806.01,47,24.8,0.33,Custom,AU,Tablet
2023-01-02,Meta Ads,Lead Gen,Desktop,27039,882,175.78,49,3.26,0.2,Interest-Based,US,Tablet
2023-01-02,Google Ads,Retargeting,Mobile,40748,1449,1466.63,66,3.56,1.01,Lookalike,AU,Desktop
2023-01-02,Meta Ads,Lead Gen,Video,5652,1228,329.12,63,21.73,0.27,Interest-Based,US,Tablet
2023-01-02,Meta Ads,Brand Awareness,Video,26833,1891,483.55,14,7.05,0.26,Custom,UK,Tablet
2023-01-02,Meta Ads,Retargeting,Carousel,3169,2222,568.19,34,70.12,0.26,Interest-Based,IN,Mobile
2023-01-02,Google Ads,Retargeting,Mobile,28734,2743,912.36,72,9.55,0.33,Lookalike,AU,Desktop
2023-01-02,Google Ads,Lead Gen,Display,19800,846,446.84,46,4.27,0.53,Lookalike,UK,Desktop
2023-01-02,Meta Ads,Lead Gen,Desktop,15973,1573,65.79,95,9.85,0.04,Custom,IN,Desktop
2023-01-02,Meta Ads,Conversion Boost,Desktop,40919,1351,821.28,36,3.3,0.61,Custom,UK,Desktop
2023-01-02,Google Ads,Retargeting,Search,16848,2402,807.74,85,14.26,0.34,Broad,UK,Mobile
2023-01-02,Google Ads,Brand Awareness,Search,22300,1452,1261.05,2,6.51,0.87,Custom,AU,Desktop
2023-01-02,Google Ads,Conversion Boost,Display,47633,1427,403.82,50,3.0,0.28,Custom,CA,Mobile
2023-01-02,Meta Ads,Lead Gen,Carousel,5857,390,526.82,20,6.66,1.35,Interest-Based,UK,Mobile
2023-01-02,Meta Ads,Retargeting,Desktop,9491,188,845.41,0,1.98,4.5,Custom,CA,Tablet
2023-01-02,Google Ads,Retargeting,Desktop,35395,2032,226.01,98,5.74,0.11,Custom,AU,Mobile
2023-01-02,Meta Ads,Conversion Boost,Desktop,38772,1184,1228.8,99,3.05,1.04,Interest-Based,CA,Mobile
2023-01-03,Meta Ads,Conversion Boost,Video,40420,2370,1107.18,81,5.86,0.47,Lookalike,US,Desktop
2023-01-03,Meta Ads,Brand Awareness,Mobile,35919,1287,862.68,18,3.58,0.67,Interest-Based,CA,Desktop
2023-01-03,Google Ads,Lead Gen,Carousel,13452,1048,604.8,27,7.79,0.58,Lookalike,UK,Mobile
2023-01-03,Google Ads,Brand Awareness,Carousel,15852,706,1072.11,18,4.45,1.52,Broad,IN,Tablet
2023-01-03,Google Ads,Brand Awareness,Carousel,11238,2161,897.66,97,19.23,0.42,Lookalike,CA,Desktop
2023-01-03,Google Ads,Brand Awareness,Mobile,25842,1895,809.41,11,7.33,0.43,Custom,CA,Mobile
2023-01-03,Meta Ads,Brand Awareness,Search,11485,2492,833.0,4,21.7,0.33,Interest-Based,US,Desktop
2023-01-03,Google Ads,Retargeting,Display,26552,1257,428.14,45,4.73,0.34,Broad,CA,Desktop
2023-01-03,Meta Ads,Brand Awareness,Desktop,30689,1655,240.22,18,5.39,0.15,Broad,US,Desktop
